Zeitstempel,x-accelerometer,y-accelerometer,z-accelerometer,x-gyroskop,y-gyroskop,z-gyroskop,State
60108.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
60136.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
60164.0,0.01,0.01,0.53,-0.0,-0.0,0.0,1
60191.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
60219.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
60246.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
60273.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
60301.0,0.01,0.01,0.53,-0.0,-0.0,-0.0,1
60328.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
60356.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
60384.0,0.02,0.01,0.53,0.0,-0.0,0.0,1
60411.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
60439.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
60468.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
60495.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
60523.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
60551.0,0.01,0.01,0.53,-0.0,0.0,0.0,1
60578.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
60606.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
60633.0,0.02,0.02,0.53,-0.0,0.0,-0.0,1
60660.0,0.01,0.01,0.53,-0.0,-0.0,0.0,1
60689.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
60717.0,0.02,0.01,0.52,-0.0,-0.0,0.0,1
60744.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
60771.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
60798.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
60826.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
60854.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
60881.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
60909.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
60937.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
60966.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
60994.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
61022.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
61049.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
61077.0,0.02,0.02,0.53,-0.0,0.0,0.0,1
61105.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
61132.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
61160.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
61188.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
61215.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
61243.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
61271.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
61298.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
61326.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
61353.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
61382.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
61410.0,0.01,0.01,0.53,-0.0,-0.0,0.0,1
61437.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
61464.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
61493.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
61519.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
61547.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
